Product Name,HSN Code,Old ERP Code / Existing Series,Item Categories (SKU),Product Description,Brand,"Country of Origin

","Model/Part Number

","Unit Price

",Currency,"Category


",Sub-Category,"Item Type

",Unit of Measure,Stock Quantity,MoQ,Reorder Level,Lead Time (Days)
Insurance,9954,503,Raw Material - Steel,Insurance used in industrial plant operations. Category: Service.,Third Party,India,SVC-F4ZW,49368.04,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,9
SERVICE CHARGE,9954,504,Laptops & Computting,Service Charge used in industrial plant operations. Category: Service.,In-House,India,SVC-YU7D,43967.28,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,2
Freight Currency Exchange,9954,505,Store & Consumables,Freight Currency Exchange used in industrial plant operations. Category: Service.,In-House,India,SVC-1FKH,17472.57,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,11
Factory Expenses,9954,506,Raw Material,Factory Expenses used in industrial plant operations. Category: Service.,Third Party,India,SVC-TJ6B,31897.08,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,1
Rent / Lease,9954,507,Heavy Duty Valves,Rent / Lease used in industrial plant operations. Category: Service.,In-House,India,SVC-ME9F,22370.86,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,7
TRACTOR ON RENT WITH DRIVER,9954,508,CNC Machined Parts,Tractor On Rent With Driver used in industrial plant operations. Category: General.,Generic,India,GEN-D8ZF,1994.2,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,308,25,62,12
JCB WITH OPERATOR,9954,509,Raw Material - Steel,Jcb With Operator used in industrial plant operations. Category: General.,Standard,India,GEN-EL63,43062.99,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,117,50,50,13
Legal Charges,9954,510,Laptops & Computting,Legal Charges used in industrial plant operations. Category: Service.,In-House,India,SVC-NV59,37599.14,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,14
Surveillance Fees,9954,511,Store & Consumables,Surveillance Fees used in industrial plant operations. Category: Service.,Contracted,India,SVC-935A,36959.94,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,13
Environment Consultancy Fee - Plant Operations,9954,512,Raw Material,Environment Consultancy Fee - Plant Operations used in industrial plant operations. Category: Service.,Vendor,India,SVC-353K,39475.04,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,7
Web Domain,9954,513,Heavy Duty Valves,Web Domain used in industrial plant operations. Category: Electrical.,Polycab,India,ELE-BSG7,52578.83,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,124,1,25,24
Calibration Charges,9954,514,CNC Machined Parts,Calibration Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-PKC2,17881.73,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,7
Seal Charges,9954,515,Raw Material - Steel,Seal Charges used in industrial plant operations. Category: Service.,Third Party,India,SVC-7D8G,48145.45,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,1
Factory Head/ Office Expense,9954,516,Laptops & Computting,Factory Head/ Office Expense used in industrial plant operations. Category: Service.,In-House,India,SVC-WM2Q,49219.67,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,7
Inspection Charges,9954,517,Store & Consumables,Inspection Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-J0A7,27153.37,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,12
EIA Certification fee,9954,518,Raw Material,Eia Certification Fee used in industrial plant operations. Category: Service.,Contracted,India,SVC-NCYM,16038.82,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,12
Business Promotion Expenses,9954,519,Heavy Duty Valves,Business Promotion Expenses used in industrial plant operations. Category: Service.,Third Party,India,SVC-TYMZ,27943.42,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,7
Mobile Charges,9954,520,CNC Machined Parts,Mobile Charges used in industrial plant operations. Category: Service.,Vendor,India,SVC-Z6WL,27622.89,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,5
Telephone & Internet Charges,9954,521,Raw Material - Steel,Telephone & Internet Charges used in industrial plant operations. Category: Service.,Third Party,India,SVC-H2WL,22368.41,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,4
Internet Service - 250 Mbps,9954,522,Laptops & Computting,Internet Service - 250 Mbps used in industrial plant operations. Category: Service.,Vendor,India,SVC-281Y,14547.43,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,11
Security Service,9954,523,Store & Consumables,Security Service used in industrial plant operations. Category: Service.,Third Party,India,SVC-D8HL,40424.86,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,1
SECURITY SUPERVISOR,9954,524,Raw Material,Security Supervisor used in industrial plant operations. Category: Service.,In-House,India,SVC-JS4C,21014.83,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,10
SECURITY GUNMAN,9954,525,Heavy Duty Valves,Security Gunman used in industrial plant operations. Category: General.,OEM,India,GEN-0PPF,34443.6,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,408,10,82,13
SECURITY GUARD,9954,526,CNC Machined Parts,Security Guard used in industrial plant operations. Category: General.,OEM,India,GEN-3ZRU,45890.01,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,243,2,49,22
SECURITY OFFICER,9954,527,Raw Material - Steel,Security Officer used in industrial plant operations. Category: General.,Standard,India,GEN-Y9W8,44593.01,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,427,50,85,24
Conveyance Expenses,9954,528,Laptops & Computting,Conveyance Expenses used in industrial plant operations. Category: Service.,Vendor,India,SVC-4U61,23996.38,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,13
Travelling Expenses,9954,529,Store & Consumables,Travelling Expenses used in industrial plant operations. Category: Service.,Contracted,India,SVC-4K2S,12342.67,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,2
Travelling Expenses- Foreign,9954,530,Raw Material,Travelling Expenses- Foreign used in industrial plant operations. Category: Service.,Third Party,India,SVC-HM6C,7966.12,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,12
"Events, Exhibitions",9954,531,Heavy Duty Valves,"Events, Exhibitions used in industrial plant operations. Category: Service.",Contracted,India,SVC-0CPU,21080.82,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,14
Light Shed Fabrication & Erection,9954,532,CNC Machined Parts,Light Shed Fabrication & Erection used in industrial plant operations. Category: Service.,Vendor,India,SVC-P28A,44092.51,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,7
Sheet Installation,9954,533,Raw Material - Steel,Sheet Installation used in industrial plant operations. Category: Service.,Vendor,India,SVC-AM15,47694.8,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,9
Sheet Erection & Fabrication Dismantling,9954,534,Laptops & Computting,Sheet Erection & Fabrication Dismantling used in industrial plant operations. Category: Service.,Contracted,India,SVC-SKSP,33609.24,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,12
Light Structure Fabrication And Erection,9954,535,Store & Consumables,Light Structure Fabrication And Erection used in industrial plant operations. Category: Service.,Contracted,India,SVC-479U,45392.98,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,10
CIVIL WORK FOR CONFERENCE ROOM MODIFICATION,9954,536,Raw Material,Civil Work For Conference Room Modification used in industrial plant operations. Category: Service.,In-House,India,SVC-CQ5G,13377.74,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,4
CIVIL WORK for 2nd furnace casing floor,9954,537,Heavy Duty Valves,Civil Work For 2Nd Furnace Casing Floor used in industrial plant operations. Category: Service.,Vendor,India,SVC-M1N1,41680.25,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,14
Computer Maint & Accessories,9954,538,CNC Machined Parts,Computer Maint & Accessories used in industrial plant operations. Category: Office.,Dell,India,OFC-R1B8,18015.35,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,409,50,82,7
Job work charges,9954,539,Raw Material - Steel,Job Work Charges used in industrial plant operations. Category: Service.,In-House,India,SVC-8GAF,6747.94,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,2
Job work charges,9954,540,Laptops & Computting,Job Work Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-RJNW,48204.87,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,2
Printing & Stationery,9954,541,Store & Consumables,Printing & Stationery used in industrial plant operations. Category: Service.,Contracted,India,SVC-8DAL,34028.69,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,7
Labour Charges,9954,542,Raw Material,Labour Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-CZXD,38737.8,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,10
Labour Charges,9954,543,Heavy Duty Valves,Labour Charges used in industrial plant operations. Category: Service.,In-House,India,SVC-3VBU,33245.31,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,9
Demurrage Charges,9954,544,CNC Machined Parts,Demurrage Charges used in industrial plant operations. Category: Service.,Third Party,India,SVC-AQSQ,18428.31,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,12
Detention Charges,9954,545,Raw Material - Steel,Detention Charges used in industrial plant operations. Category: Service.,Contracted,India,SVC-Q08K,40505.86,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,13
Environment Tax - Plant Operations,9954,546,Laptops & Computting,Environment Tax - Plant Operations used in industrial plant operations. Category: Service.,Vendor,India,SVC-R4WL,12652.01,INR (₹),Construction Material,Bitumen & Ashphalt,Service,Nos,0,1,1,5
RCMC,9954,547,Store & Consumables,Rcmc used in industrial plant operations. Category: Service.,Vendor,India,SVC-JRWN,1920.65,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,3
ISO Certification,9954,548,Raw Material,Iso Certification used in industrial plant operations. Category: Service.,Vendor,India,SVC-H3M5,35208.6,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,9
MAXTREAT-7770,9954,549,Heavy Duty Valves,Maxtreat-7770 used in industrial plant operations. Category: Rawmat.,IMFA,India,RM-TGJP,279812.22,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,363,10,73,31
MAXTREAT-2515,9954,550,CNC Machined Parts,Maxtreat-2515 used in industrial plant operations. Category: Rawmat.,RINL,India,RM-S2DH,347434.64,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,349,25,70,26
FERRO SILICON CHIPS 3-10mm,9954,551,Raw Material - Steel,Ferro Silicon Chips 3-10Mm used in industrial plant operations. Category: Rawmat.,Vedanta,India,RM-UM9U,179146.21,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,148,5,30,25
WIRE ROPE 10MM,9954,552,Laptops & Computting,Wire Rope 10Mm used in industrial plant operations. Category: Electrical.,ABB,India,ELE-EGEU,114376,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,108,2,22,25
"BUSBAR SUPPORT INSULATOR 3.5"" X 1.5"" SP-35",9954,553,Store & Consumables,"Busbar Support Insulator 3.5"" X 1.5"" Sp-35 used in industrial plant operations. Category: Electrical.",Schneider,India,ELE-KW1W,147080.49,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,161,2,32,19
4 SQMM X 4 CORE COPPER ARMORED CABLE,9954,554,Raw Material,4 Sqmm X 4 Core Copper Armored Cable used in industrial plant operations. Category: Electrical.,ABB,India,ELE-L0EB,8368,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,367,2,73,24
ELECTRICAL SIREN RANGE 100 MTR 230V,9954,555,Heavy Duty Valves,Electrical Siren Range 100 Mtr 230V used in industrial plant operations. Category: Electrical.,Polycab,India,ELE-1DAK,71911.39,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,104,1,21,18
MS JUNCTION BOX 600MM X 600MM,9954,556,CNC Machined Parts,Ms Junction Box 600Mm X 600Mm used in industrial plant operations. Category: Electrical.,Polycab,India,ELE-S3PC,94490.97,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,87,2,17,26
CLOSING AND TRIPPING COIL 30V DC,9954,557,Raw Material - Steel,Closing And Tripping Coil 30V Dc used in industrial plant operations. Category: Electrical.,L&T,India,ELE-8CJU,62542.87,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,407,25,81,20
CONTACTOR COIL 3TF35 110V AC,9954,558,Laptops & Computting,Contactor Coil 3Tf35 110V Ac used in industrial plant operations. Category: Electrical.,Schneider,India,ELE-6LWQ,85380.69,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,322,50,64,15
CONTACTOR COIL 3TF47 110V AC,9954,559,Store & Consumables,Contactor Coil 3Tf47 110V Ac used in industrial plant operations. Category: Electrical.,Polycab,India,ELE-HHYF,26237.27,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,90,1,18,20
MS SEAMLESS PIPE ID-180MM OD-230MM THCIKNESS-25MM,9954,560,Raw Material,Ms Seamless Pipe Id-180Mm Od-230Mm Thcikness-25Mm used in industrial plant operations. Category: Mechanical.,Wendt,India,MCH-ZRBK,21275.61,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,46,50,50,17
DRILL BIT 12MM,9954,561,Heavy Duty Valves,Drill Bit 12Mm used in industrial plant operations. Category: General.,Local,India,GEN-2XY7,21371.92,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,125,50,50,12
PVC WATER TANK 5000 LTR,9954,562,CNC Machined Parts,Pvc Water Tank 5000 Ltr used in industrial plant operations. Category: General.,Local,India,GEN-4CFL,37498.09,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,481,5,96,17
"UPVC TANK NIPPLE 2""",9954,563,Raw Material - Steel,"Upvc Tank Nipple 2"" used in industrial plant operations. Category: Mechanical.",SKF,India,MCH-RLPK,40544.62,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,51,25,25,14
"UPVC TANK NIPPLE 1""",9954,564,Laptops & Computting,"Upvc Tank Nipple 1"" used in industrial plant operations. Category: Mechanical.",Wendt,India,MCH-0WAH,50604.95,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,401,50,80,27
"PNEUMATIC HOSE 1""",9954,565,Store & Consumables,"Pneumatic Hose 1"" used in industrial plant operations. Category: Mechanical.",Kirloskar,India,MCH-V1FT,33222.98,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,102,25,25,20
"PNEUMATIC HOSE FITTING 1""",9954,566,Raw Material,"Pneumatic Hose Fitting 1"" used in industrial plant operations. Category: Mechanical.",Kennametal,India,MCH-38RP,24147.26,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,449,2,90,19
GI PLAIN SHEET 0.75MM,9954,567,Heavy Duty Valves,Gi Plain Sheet 0.75Mm used in industrial plant operations. Category: Construction.,JSW,India,CON-ZK83,110244.27,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,55,5,11,14
"110V, 150AH PB Acid Battery, battery insulators, inter-battery wiring, terminal connectors & all other accessories and connectors as per technical specifications.",9954,568,CNC Machined Parts,"110V, 150Ah Pb Acid Battery, Battery Insulators, Inter-Battery Wiring, Terminal Connectors & All Other Accessories And Connectors As Per Technical Specifications. used in industrial plant operations. Category: Electrical.",Havells,India,ELE-D254,372.43,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,221,1,44,17
LETTER PUNCH A TO Z,9954,569,Raw Material - Steel,Letter Punch A To Z used in industrial plant operations. Category: Office.,Generic,India,OFC-N1X1,16364.3,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,484,5,97,14
NUMBER PUNCH 0 TO 9,9954,570,Laptops & Computting,Number Punch 0 To 9 used in industrial plant operations. Category: Office.,Luxor,India,OFC-SAX3,56811.65,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,292,1,58,15
DOL STARTER MK-1 RELAY RANGE 1.5A TO 2.5A,9954,571,Store & Consumables,Dol Starter Mk-1 Relay Range 1.5A To 2.5A used in industrial plant operations. Category: Electrical.,Schneider,India,ELE-D97R,17796.43,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,265,50,53,18
DOL STARTER MK-1 RELAY RANGE 6A TO 10A,9954,572,Raw Material,Dol Starter Mk-1 Relay Range 6A To 10A used in industrial plant operations. Category: Electrical.,L&T,India,ELE-ZQSS,68626.61,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,206,2,41,28
LED FLOOD LIGHT 250W,9954,573,Heavy Duty Valves,Led Flood Light 250W used in industrial plant operations. Category: Electrical.,L&T,India,ELE-T55K,118542.93,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,184,25,37,18
EMERY PAPER 150,9954,574,CNC Machined Parts,Emery Paper 150 used in industrial plant operations. Category: Office.,Dell,India,OFC-KLV9,39222.26,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,238,25,48,14
OUT DOOR CURRENT TRANSFORMER RATIO 75/5/5A,9954,575,Raw Material - Steel,Out Door Current Transformer Ratio 75/5/5A used in industrial plant operations. Category: Electrical.,Havells,India,ELE-M1N7,130466.33,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,302,10,60,17
TUNI LIGHT 230 VAC,9954,576,Laptops & Computting,Tuni Light 230 Vac used in industrial plant operations. Category: Electrical.,Polycab,India,ELE-2B1Z,121749.05,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,349,50,70,16
CEILING FAN BEARING INNER PULLER,9954,577,Store & Consumables,Ceiling Fan Bearing Inner Puller used in industrial plant operations. Category: Electrical.,Schneider,India,ELE-8E8M,15234.62,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,61,25,25,28
TIN METAL,9954,578,Raw Material,Tin Metal used in industrial plant operations. Category: General.,Standard,India,GEN-AE58,3926.45,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,183,25,37,21
UMBRELLA,9954,579,Heavy Duty Valves,Umbrella used in industrial plant operations. Category: Safety.,Allen Cooper,India,SAF-Y445,1233.03,INR (₹),Construction Material,Building Hardware,Stock Item,Set,330,50,66,21
RUBBER GUM BOOT,9954,580,CNC Machined Parts,Rubber Gum Boot used in industrial plant operations. Category: Construction.,JSW,India,CON-5BCX,184225.36,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,392,1,78,16
RAIN COAT,9954,581,Raw Material - Steel,Rain Coat used in industrial plant operations. Category: Safety.,Mallcom,India,SAF-1ZDF,1003.48,INR (₹),Construction Material,Building Hardware,Stock Item,Set,33,5,7,19
MS ROUND BAR 25 MM(EN 9 GRADE),9954,582,Laptops & Computting,Ms Round Bar 25 Mm(En 9 Grade) used in industrial plant operations. Category: Construction.,Tata Steel,India,CON-KNEU,113402.65,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,97,2,19,11
M-25 HEXAGONAL NUT,9954,583,Store & Consumables,M-25 Hexagonal Nut used in industrial plant operations. Category: Mechanical.,Sandvik,India,MCH-5XJ7,10819.52,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,336,5,67,21
